image,class
images/0.jpg,0
images/0_horflip.jpg,0
images/0_verflip.jpg,0
images/0_invflip.jpg,0
images/1.jpg,0
images/1_horflip.jpg,0
images/1_verflip.jpg,0
images/1_invflip.jpg,0
images/2.jpg,1
images/2_horflip.jpg,1
images/2_verflip.jpg,1
images/2_invflip.jpg,1
images/3.jpg,0
images/3_horflip.jpg,0
images/3_verflip.jpg,0
images/3_invflip.jpg,0
images/4.jpg,0
images/4_horflip.jpg,0
images/4_verflip.jpg,0
images/4_invflip.jpg,0
images/5.jpg,0
images/5_horflip.jpg,0
images/5_verflip.jpg,0
images/5_invflip.jpg,0
images/6.jpg,1
images/6_horflip.jpg,1
images/6_verflip.jpg,1
images/6_invflip.jpg,1
images/7.jpg,1
images/7_horflip.jpg,1
images/7_verflip.jpg,1
images/7_invflip.jpg,1
images/8.jpg,0
images/8_horflip.jpg,0
images/8_verflip.jpg,0
images/8_invflip.jpg,0
images/9.jpg,1
images/9_horflip.jpg,1
images/9_verflip.jpg,1
images/9_invflip.jpg,1
images/10.jpg,1
images/10_horflip.jpg,1
images/10_verflip.jpg,1
images/10_invflip.jpg,1
images/11.jpg,0
images/11_horflip.jpg,0
images/11_verflip.jpg,0
images/11_invflip.jpg,0
images/12.jpg,1
images/12_horflip.jpg,1
images/12_verflip.jpg,1
images/12_invflip.jpg,1
images/13.jpg,1
images/13_horflip.jpg,1
images/13_verflip.jpg,1
images/13_invflip.jpg,1
images/14.jpg,1
images/14_horflip.jpg,1
images/14_verflip.jpg,1
images/14_invflip.jpg,1
images/15.jpg,0
images/15_horflip.jpg,0
images/15_verflip.jpg,0
images/15_invflip.jpg,0
images/16.jpg,0
images/16_horflip.jpg,0
images/16_verflip.jpg,0
images/16_invflip.jpg,0
images/17.jpg,1
images/17_horflip.jpg,1
images/17_verflip.jpg,1
images/17_invflip.jpg,1
images/18.jpg,1
images/18_horflip.jpg,1
images/18_verflip.jpg,1
images/18_invflip.jpg,1
images/19.jpg,0
images/19_horflip.jpg,0
images/19_verflip.jpg,0
images/19_invflip.jpg,0
images/20.jpg,0
images/20_horflip.jpg,0
images/20_verflip.jpg,0
images/20_invflip.jpg,0
images/21.jpg,0
images/21_horflip.jpg,0
images/21_verflip.jpg,0
images/21_invflip.jpg,0
images/22.jpg,1
images/22_horflip.jpg,1
images/22_verflip.jpg,1
images/22_invflip.jpg,1
images/23.jpg,0
images/23_horflip.jpg,0
images/23_verflip.jpg,0
images/23_invflip.jpg,0
images/24.jpg,0
images/24_horflip.jpg,0
images/24_verflip.jpg,0
images/24_invflip.jpg,0
images/25.jpg,1
images/25_horflip.jpg,1
images/25_verflip.jpg,1
images/25_invflip.jpg,1
images/26.jpg,1
images/26_horflip.jpg,1
images/26_verflip.jpg,1
images/26_invflip.jpg,1
images/27.jpg,0
images/27_horflip.jpg,0
images/27_verflip.jpg,0
images/27_invflip.jpg,0
images/28.jpg,1
images/28_horflip.jpg,1
images/28_verflip.jpg,1
images/28_invflip.jpg,1
images/29.jpg,1
images/29_horflip.jpg,1
images/29_verflip.jpg,1
images/29_invflip.jpg,1
images/30.jpg,0
images/30_horflip.jpg,0
images/30_verflip.jpg,0
images/30_invflip.jpg,0
images/31.jpg,0
images/31_horflip.jpg,0
images/31_verflip.jpg,0
images/31_invflip.jpg,0
images/32.jpg,1
images/32_horflip.jpg,1
images/32_verflip.jpg,1
images/32_invflip.jpg,1
images/33.jpg,0
images/33_horflip.jpg,0
images/33_verflip.jpg,0
images/33_invflip.jpg,0
images/34.jpg,1
images/34_horflip.jpg,1
images/34_verflip.jpg,1
images/34_invflip.jpg,1
images/35.jpg,1
images/35_horflip.jpg,1
images/35_verflip.jpg,1
images/35_invflip.jpg,1
images/36.jpg,0
images/36_horflip.jpg,0
images/36_verflip.jpg,0
images/36_invflip.jpg,0
images/37.jpg,1
images/37_horflip.jpg,1
images/37_verflip.jpg,1
images/37_invflip.jpg,1
